huspacy ner , emagyar lemma,
False,|I-ORG|,|I-LOC|
False,|B-ORG|,|O|
False,|B-PER|,|O|
False,|I-PER|,|O|
False,|B-ORG|,|B-LOC|
False,|B-ORG|,|O|
huspacy ner , emagyar lemma,
False,|O|,|B-ORG|
False,|B-ORG|,|O|
False,|B-MISC|,|B-ORG|
False,|B-ORG|,|O|
False,|B-ORG|,|O|
False,|I-ORG|,|O|
False,|B-ORG|,|O|
False,|B-PER|,|B-ORG|
False,|B-ORG|,|B-LOC|
False,|B-MISC|,|O|
False,|B-ORG|,|B-LOC|
False,|B-ORG|,|B-LOC|
False,|I-ORG|,|I-LOC|
False,|B-ORG|,|O|
False,|B-PER|,|O|
False,|I-PER|,|O|
False,|B-ORG|,|B-LOC|
False,|B-ORG|,|O|
huspacy ner , emagyar lemma,
False,|O|,|B-ORG|
False,|B-ORG|,|O|
False,|B-MISC|,|B-ORG|
False,|B-ORG|,|O|
False,|B-ORG|,|O|
False,|I-ORG|,|O|
False,|B-ORG|,|O|
False,|B-PER|,|B-ORG|
False,|B-ORG|,|B-LOC|
False,|B-MISC|,|O|
False,|B-ORG|,|B-LOC|
False,|B-ORG|,|B-LOC|
False,|I-ORG|,|I-LOC|
False,|B-ORG|,|O|
False,|B-PER|,|O|
False,|I-PER|,|O|
False,|B-ORG|,|B-LOC|
False,|B-ORG|,|O|
huspacy ner , emagyar lemma,
False,|O|,|B-ORG|
False,|B-ORG|,|O|
False,|B-MISC|,|B-ORG|
False,|B-ORG|,|O|
False,|B-ORG|,|O|
False,|I-ORG|,|O|
False,|B-ORG|,|O|
False,|B-PER|,|B-ORG|
False,|B-ORG|,|B-LOC|
False,|B-MISC|,|O|
False,|B-ORG|,|B-LOC|
False,|B-ORG|,|B-LOC|
False,|I-ORG|,|I-LOC|
False,|B-ORG|,|O|
False,|B-PER|,|O|
False,|I-PER|,|O|
False,|B-ORG|,|B-LOC|
False,|B-ORG|,|O|
huspacy ner , emagyar lemma,
False,|O|,|B-ORG|
False,|B-ORG|,|O|
False,|B-MISC|,|B-ORG|
False,|B-ORG|,|O|
False,|B-ORG|,|O|
False,|I-ORG|,|O|
False,|B-ORG|,|O|
False,|B-PER|,|B-ORG|
False,|B-ORG|,|B-LOC|
False,|B-MISC|,|O|
False,|B-ORG|,|B-LOC|
False,|B-ORG|,|B-LOC|
False,|I-ORG|,|I-LOC|
False,|B-ORG|,|O|
False,|B-PER|,|O|
False,|I-PER|,|O|
False,|B-ORG|,|B-LOC|
False,|B-ORG|,|O|
